[2024-12-19T13:23:56.297661] Called method: FoodLogController.createFoodLog(..)
[2024-12-19T13:26:38.060255] Called method: FoodLogController.createFoodLog(..)
[2024-12-19T13:29:52.135497] Called method: FoodLogController.createFoodLog(..)
[2024-12-19T13:37:38.236351] Called method: FoodLogController.createFoodLog(..)
[2024-12-19T14:15:11.084329] Called method: FoodLogController.createFoodLog
[2024-12-19T14:15:47.013790] Called method: FoodLogController.createFoodLog
[2024-12-19T14:18:33.701429] Called method: FoodLogController.createFoodLog
[2024-12-19T14:32:05.431793] Called method: FoodLogController.createFoodLog
[2024-12-19T14:51:56.133285] Called method: FoodLogController.createFoodLog
[2024-12-19T15:50:01.323009] Called method: FoodLogController.getFoodLogsByUserAndMealType
[2024-12-19T15:52:31.389725] Called method: FoodLogController.createFoodLog
[2024-12-19T15:54:03.017678] Called method: FoodLogController.createFoodLog
[2024-12-20T12:00:48.462183] Called method: FoodLogController.createFoodLog
[2024-12-20T12:02:32.341475] Called method: FoodLogController.createFoodLog
[2024-12-20T12:03:08.036372] Called method: FoodLogController.getAllFoodLogs
[2024-12-20T16:30:25.424532] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T16:30:25.427231] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T16:30:25.431124] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T16:30:25.432925] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T16:30:25.436317] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:30:25.438566] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:30:25.439886] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:30:49.675108] [REPOSITORY] Called method: $Proxy171.save
[2024-12-20T16:30:49.792166] [REPOSITORY] Called method: $Proxy171.save
[2024-12-20T16:30:49.885942] [REPOSITORY] Called method: $Proxy171.save
[2024-12-20T16:30:49.888064] [REPOSITORY] Called method: $Proxy173.save
[2024-12-20T16:30:49.890723] [REPOSITORY] Called method: $Proxy173.save
[2024-12-20T16:30:49.893178] [REPOSITORY] Called method: $Proxy174.save
[2024-12-20T16:30:49.896375] [REPOSITORY] Called method: $Proxy175.save
[2024-12-20T16:30:49.899379] [REPOSITORY] Called method: $Proxy175.save
[2024-12-20T16:30:49.901583] [REPOSITORY] Called method: $Proxy175.save
[2024-12-20T16:30:54.215726] [REPOSITORY] Called method: $Proxy179.save
[2024-12-20T16:30:54.315787] [REPOSITORY] Called method: $Proxy179.save
[2024-12-20T16:30:54.406074] [REPOSITORY] Called method: $Proxy179.save
[2024-12-20T16:30:54.408489] [REPOSITORY] Called method: $Proxy181.save
[2024-12-20T16:30:54.411416] [REPOSITORY] Called method: $Proxy181.save
[2024-12-20T16:30:54.413861] [REPOSITORY] Called method: $Proxy182.save
[2024-12-20T16:30:54.417519] [REPOSITORY] Called method: $Proxy183.save
[2024-12-20T16:30:54.421370] [REPOSITORY] Called method: $Proxy183.save
[2024-12-20T16:30:54.424064] [REPOSITORY] Called method: $Proxy183.save
[2024-12-20T16:30:56.578161] [REPOSITORY] Called method: $Proxy146.save
[2024-12-20T16:30:56.730579] [REPOSITORY] Called method: $Proxy146.save
[2024-12-20T16:30:56.809329] [REPOSITORY] Called method: $Proxy146.save
[2024-12-20T16:30:56.811657] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T16:30:56.815581] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T16:30:56.817810] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:30:56.822765] [REPOSITORY] Called method: $Proxy151.save
[2024-12-20T16:30:56.825560] [REPOSITORY] Called method: $Proxy151.save
[2024-12-20T16:30:56.827075] [REPOSITORY] Called method: $Proxy151.save
[2024-12-20T16:37:14.081967] [REPOSITORY] Called method: $Proxy192.save
[2024-12-20T16:37:14.175820] [REPOSITORY] Called method: $Proxy192.save
[2024-12-20T16:37:14.265517] [REPOSITORY] Called method: $Proxy192.save
[2024-12-20T16:37:14.267548] [REPOSITORY] Called method: $Proxy194.save
[2024-12-20T16:37:14.269231] [REPOSITORY] Called method: $Proxy194.save
[2024-12-20T16:37:14.270510] [REPOSITORY] Called method: $Proxy195.save
[2024-12-20T16:37:14.272807] [REPOSITORY] Called method: $Proxy196.save
[2024-12-20T16:37:14.274599] [REPOSITORY] Called method: $Proxy196.save
[2024-12-20T16:37:14.275951] [REPOSITORY] Called method: $Proxy196.save
[2024-12-20T16:41:56.847372] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T16:41:57.030841] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T16:41:57.118158] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T16:41:57.120362] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T16:41:57.124087] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T16:41:57.125820] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T16:41:57.129206] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:41:57.132203] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T16:41:57.133803] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T17:12:19.597137] [REPOSITORY] Called method: $Proxy145.findByUsername
[2024-12-20T17:12:19.874442] [CONTROLLER] Called method: UserController.getUserById
[2024-12-20T17:12:19.875134] [SERVICE] Called method: UserService.getUserById
[2024-12-20T17:12:19.876950] [REPOSITORY] Called method: $Proxy145.findById
[2024-12-20T22:21:18.245520] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T22:21:18.403992] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T22:21:18.491367] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T22:21:18.493343] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T22:21:18.498573] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T22:21:18.500957] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T22:21:18.504553] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T22:21:18.506908] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T22:21:18.508274] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T22:24:23.816499] [REPOSITORY] Called method: $Proxy145.findByUsername
[2024-12-20T22:24:23.981241] [CONTROLLER] Called method: UserController.getAllUsers
[2024-12-20T22:24:23.981630] [SERVICE] Called method: UserService.getAllUsers
[2024-12-20T22:27:03.888013] [REPOSITORY] Called method: $Proxy172.save
[2024-12-20T22:27:03.979422] [REPOSITORY] Called method: $Proxy172.save
[2024-12-20T22:27:04.087960] [REPOSITORY] Called method: $Proxy172.save
[2024-12-20T22:27:04.090146] [REPOSITORY] Called method: $Proxy174.save
[2024-12-20T22:27:04.092408] [REPOSITORY] Called method: $Proxy174.save
[2024-12-20T22:27:04.094083] [REPOSITORY] Called method: $Proxy175.save
[2024-12-20T22:27:04.096764] [REPOSITORY] Called method: $Proxy176.save
[2024-12-20T22:27:04.098833] [REPOSITORY] Called method: $Proxy176.save
[2024-12-20T22:27:04.100792] [REPOSITORY] Called method: $Proxy176.save
[2024-12-20T22:28:03.660955] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T22:28:03.883693] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T22:28:03.999668] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T22:28:04.002434] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T22:28:04.009205] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T22:28:04.011923] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T22:28:04.019292] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T22:28:04.023709] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T22:28:04.026702] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T22:28:08.988187] [REPOSITORY] Called method: $Proxy145.findByUsername
[2024-12-20T22:28:09.154354] [CONTROLLER] Called method: UserController.getAllUsers
[2024-12-20T22:28:09.154844] [SERVICE] Called method: UserService.getAllUsers
[2024-12-20T22:28:12.276734] [REPOSITORY] Called method: $Proxy145.findByUsername
[2024-12-20T22:28:12.373704] [CONTROLLER] Called method: UserController.getAllUsers
[2024-12-20T22:28:12.374003] [SERVICE] Called method: UserService.getAllUsers
[2024-12-20T22:28:14.807970] [REPOSITORY] Called method: $Proxy145.findByUsername
[2024-12-20T22:28:14.906786] [CONTROLLER] Called method: UserController.getAllUsers
[2024-12-20T22:28:14.907048] [SERVICE] Called method: UserService.getAllUsers
[2024-12-20T22:28:16.471886] [REPOSITORY] Called method: $Proxy145.findByUsername
[2024-12-20T22:28:16.563915] [CONTROLLER] Called method: UserController.getAllUsers
[2024-12-20T22:28:16.564307] [SERVICE] Called method: UserService.getAllUsers
[2024-12-20T22:29:43.532413] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T22:29:43.685963] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T22:29:43.774586] [REPOSITORY] Called method: $Proxy145.save
[2024-12-20T22:29:43.776665] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T22:29:43.780678] [REPOSITORY] Called method: $Proxy148.save
[2024-12-20T22:29:43.782763] [REPOSITORY] Called method: $Proxy149.save
[2024-12-20T22:29:43.786295] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T22:29:43.788673] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T22:29:43.789965] [REPOSITORY] Called method: $Proxy150.save
[2024-12-20T22:29:58.947047] [REPOSITORY] Called method: $Proxy145.findByUsername
[2024-12-20T22:29:59.111884] [CONTROLLER] Called method: UserController.getAllUsers
[2024-12-20T22:29:59.112390] [SERVICE] Called method: UserService.getAllUsers
